id,name,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
3481,LOWE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3481,LOWE,Unknown,Unknown,Unknown,Unknown,Blacksmiths,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3626,COHEN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3626,COHEN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4100,CARPENTER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4309,ABRAHAM & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4309,ABRAHAM & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4309,ABRAHAM & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4593,ABRAHAM & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4593,ABRAHAM & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4593,ABRAHAM & CO.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Optical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4594,ABRAHAM & DANCER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mathematical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4594,ABRAHAM & DANCER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Philosophical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4594,ABRAHAM & DANCER,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Optical,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4600,HARRIS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Globe,Unknown,Unknown
4600,HARRIS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Globe,Unknown,Unknown
4600,HARRIS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
