ref,date,name,other_trades,Other Trades Parenth,Other Trades Dates,Other Trade Suffix 2,Role_primary,Relation to,RoleRelationDates,guild_memberships,opticians,seller_descriptions,Qualifier IS,Dates IS,maker_descriptions,IM Dates Parenth,Material,Qualifier IM,seller_trades,Seller_trades parenth,Seller trade dates,maker_trades,Maker_trade parentheses 1,Maker_trade Date Qual,Maker_qualifier
66,1773-01-01T00:00:00Z,TOMPON,,,,,,,,,Optician,,,,,,,,,,,,,,
67,1767-01-01T00:00:00Z,OAKLEY,,,,,,,,,,,,,,,,,,,,Spectacle,,,
67,1767-01-01T00:00:00Z,OAKLEY,,,,,,,,,,,,,,,,,,,,Spectacle,,,
67,1767-01-01T00:00:00Z,OAKLEY,,,,,,,,,,,,,Optical,,,,,,,,,,
67,1767-01-01T00:00:00Z,OAKLEY,,,,,,,,,Optician,,,,,,,,,,,,,,
68,1773-01-01T00:00:00Z,JARVIS,,,,,,,,,,,,,,,,,,,,Compass,,,
68,1773-01-01T00:00:00Z,JARVIS,,,,,,,,,,,,,,,,,,,,Pincer,,,
69,1605-01-01T00:00:00Z,NORMAN,,,,,,,,,,,,,,,,,,,,Compass,,,
70,1568-01-01T00:00:00Z,NEWSAM,,,,,,,,,,,,,,,,,,,,Clock,,,
71,1576-01-01T00:00:00Z,RYTHER,,,,,,,,,,,,,Mathematical,,,,,,,,,,
71,1576-01-01T00:00:00Z,RYTHER,,,,,,,,Grocers,,,,,,,,,,,,,,,
71,1576-01-01T00:00:00Z,RYTHER,,,,,Engraver,,,,,,,,,,,,,,,,,,
72,1582-01-01T00:00:00Z,BULL,,,,,,,,,,,,,Mathematical,,(in metal),,,,,,,,
73,1582-01-01T00:00:00Z,LOCKERSON,,,,,,,,,,,,,Mathematical,,(in wood),,,,,,,,
74,1580-01-01T00:00:00Z,READ,,,,,,,,,,,,,Mathematical,,(in wood),,,,,,,,
74,1580-01-01T00:00:00Z,READ,,,,,,,,Stationers,,,,,,,,,,,,,,,
75,1582-01-01T00:00:00Z,REYNOLDS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
76,1584-01-01T00:00:00Z,KYNVYN,,,,,,,,,,,,,Mathematical,,(in brass),,,,,,,,
76,1584-01-01T00:00:00Z,KYNVYN,,,,,,,,Merchant Taylors,,,,,,,,,,,,,,,
77,1761-01-01T00:00:00Z,JACOB,,,,,,,,,,,,,,,,,,,,Snuffer,,,
77,1761-01-01T00:00:00Z,JACOB,,,,,,,,,,,,,,,,,,,,Rule,,,
78,1777-01-01T00:00:00Z,FROST,,,,,,,,,,,,,,,,,,,,Rule,,,
79,1780-01-01T00:00:00Z,AULT,,,,,,,,,,,,,,,,,,,,Compass,,,
80,1770-01-01T00:00:00Z,BARNET,,,,,,,,,Optician,,,,,,,,,,,,,,
80,1770-01-01T00:00:00Z,BARNET,,,,,Grinder ,spectacle,,,,,,,,,,,,,,,,,
82,1592-01-01T00:00:00Z,MOLYNEUX,,,,,,,,,,,,,,,,,,,,Compass,,,
84,1590-01-01T00:00:00Z,COOKE,,,,,,,,,,Mathematical,,,,,,,,,,,,,
85,1616-01-01T00:00:00Z,JACKSON,,,,,,,,,,,,,Mathematical,,,,,,,,,,
86,1584-01-01T00:00:00Z,PAINE,,,,,,,,,,,,,Mathematical,,,,,,,,,,
87,1593-01-01T00:00:00Z,WHITWELL,,,,,,,,,,,,,Mathematical,,,,,,,,,,
87,1593-01-01T00:00:00Z,WHITWELL,,,,,,,,Grocers,,,,,,,,,,,,,,,
87,1593-01-01T00:00:00Z,WHITWELL,,,,,Engraver,,,,,,,,,,,,,,,,,,
89,1605-01-01T00:00:00Z,DREBBEL,,,,,,,,,Optician,,,,,,,,,,,,,,
89,1605-01-01T00:00:00Z,DREBBEL,,,,,Engineer,,,,,,,,,,,,,,,,,,
90,1621-01-01T00:00:00Z,LEWIS,,,,,,,,,,,,,,,,,,,,Compass,,,
91,1610-01-01T00:00:00Z,THOMPSON,,,,,,,,,,,,,Mathematical,,(in wood),,,,,,,,
91,1610-01-01T00:00:00Z,THOMPSON,,,,,,,,Stationers,,,,,,,,,,,,,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,,,,,,,,Clock,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,,,,,,,,Clock,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,,,,,,,,Clock,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,,,,,,,,Engine,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,,,,,,,,Engine,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,,,,,,,,Engine,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,Mathematical,,,,,,,,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,Philosophical,,,,,,,,,,
92,1729-01-01T00:00:00Z,BEAVESS,,,,,,,,,,,,,Optical,,,,,,,,,,
93,1619-01-01T00:00:00Z,STERNE,,,,,,,,,,,,,,,,,,,,Globe,,,
94,1612-01-01T00:00:00Z,GOSSE,,,,,,,,,,,,,Mathematical,,(in wood),,,,,,,,
94,1612-01-01T00:00:00Z,GOSSE,,,,,,,,Stationers,,,,,,,,,,,,,,,
96,1626-01-01T00:00:00Z,BATES,,,,,,,,,,,,,Mathematical,,,,,,,,,,
97,1626-01-01T00:00:00Z,BROWN,,,,,,,,,,,,,Mathematical,,,,,,,,,,
97,1626-01-01T00:00:00Z,BROWN,,,,,,,,Joiners,,,,,,,,,,,,,,,
99,1626-01-01T00:00:00Z,BLEYGHTON,,,,,,,,,,,,,Mathematical,,(in silver or brass),,,,,,,,
99,1626-01-01T00:00:00Z,BLEYGHTON,,,,,,,,Grocers,,,,,,,,,,,,,,,
101,1767-01-01T00:00:00Z,EDWARDS,,,,,,,,,,,,,,,,,,,,Rule,,,
102,1770-01-01T00:00:00Z,BAGNALL,,,,,,,,,,,,,,,,,,,,Compass,,,
103,1633-01-01T00:00:00Z,WAKELY,,,,,,,,,,,,,Mathematical,,,,,,,,,,
104,1773-01-01T00:00:00Z,BAGNALL,,,,,,,,,,,,,,,,,,,,Compass,drawing ?,,
106,1630-01-01T00:00:00Z,ALLEN,,,,,,,,,,,,,Mathematical,,(in brass),,,,,,,,
106,1630-01-01T00:00:00Z,ALLEN,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
106,1630-01-01T00:00:00Z,ALLEN,,,,,,,,Grocers,,,,,,,,,,,,,,,
108,1632-01-01T00:00:00Z,HILL,,,,,,,,,,,,,,,,,,,,Dial,,,
108,1632-01-01T00:00:00Z,HILL,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
109,1639-01-01T00:00:00Z,SUTTON,,,,,,,,,,,,,,,,,,,,Sundial,,,
110,1649-01-01T00:00:00Z,SUTTON,,,,,,,,,,,,,Mathematical,Math,(in brass and wood),,,,,,,,
110,1649-01-01T00:00:00Z,SUTTON,,,,,,,,Joiners,,,,,,,,,,,,,,,
111,1645-01-01T00:00:00Z,THOMPSON,,,,,,,,,,,,,Mathematical,Math,(in both brass and wood),,,,,,,,
111,1645-01-01T00:00:00Z,THOMPSON,,,,,,,,Stationers,,,,,,,,,,,,,,,
112,1665-01-01T00:00:00Z,MARR,,,,,,,,,,,,,,,,,,,,Dial,,,
112,1665-01-01T00:00:00Z,MARR,,,,,,,,,,,,,,,,,,,,Compass,,,
112,1665-01-01T00:00:00Z,MARR,,,,,Surveyor,,,,,,,,,,,,,,,,,,
113,1620-01-01T00:00:00Z,MARLOW,,,,,,,,,,,,,,,,,,,,Compass,,,
115,1648-01-01T00:00:00Z,BROWNE,,,,,,,,,,,,,Mathematical,Math(at least 4 John Brown(e)'s in Joiners Co.,,,,,,,,,
115,1648-01-01T00:00:00Z,BROWNE,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
115,1648-01-01T00:00:00Z,BROWNE,,,,,,,,Joiners,,,,,,,,,,,,,,,
116,1654-01-01T00:00:00Z,GREATOREX,,,,,,,,,,,,,Mathematical,,,,,,,,,,
116,1654-01-01T00:00:00Z,GREATOREX,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
116,1654-01-01T00:00:00Z,GREATOREX,,,,,Surveyor,,,,,,,,,,,,,,,,,,
122,1648-01-01T00:00:00Z,HAYES,,,,,,,,,,,,,,,,,Book,,,,,,
122,1648-01-01T00:00:00Z,HAYES,,,,,,,,,,,,,Mathematical,,"silver, brass, ivory, wood",,,,,,,,
122,1648-01-01T00:00:00Z,HAYES,,,,,,,,Clockmakers,,,,,,,,,,,,,,,
122,1648-01-01T00:00:00Z,HAYES,,,,,,,,Grocers,,,,,,,,,,,,,,,
124,1660-01-01T00:00:00Z,ALDUS,,,,,,,,Joiners,,,,,,,,,,,,,,,
