source,relationship,target
4413,CHILD_OF,608
4413,PARENT_OF,9301
4412,APPRENTICED_TO,675
3518,TOOK_OVER_FROM,609
3518,HAD_APPRENTICE,4392
3518,APPRENTICED_TO,608
3518,PARTNERSHIP,609
3518,CHILD_OF,608
3518,PARENT_OF,4392
6597,TOOK_OVER_FROM,4413
8434,TOOK_OVER_FROM,6598
8434,OWNED_BY,8432
9300,TOOK_OVER_FROM,8434
6598,TOOK_OVER_FROM,3518
6598,SEE_ALSO,8432
6598,SUCCEEDED__BY,8434
2069,SEE_ALSO,2067
2068,SEE_ALSO,2067
2067,SEE_ALSO,2068
2067,SEE_ALSO,2069
6600,SEE_ALSO,6599
2069,SEE_ALSO,2068
6599,SEE_ALSO,6600
2068,SEE_ALSO,2069
10479,SEE_ALSO,10180
3636,SUCCEEDED__BY,3638
3636,SEE_ALSO,3639
3636,SEE_ALSO,3637
3637,SEE_ALSO,3636
3636,CHILD_OF,3637
3640,TOOK_OVER_FROM,3638
3640,TOOK_OVER_FROM,6754
3638,TOOK_OVER_FROM,3636
6603,ASSOCIATED_WITH,3639
3639,TOOK_OVER_FROM,3638
2070,APPRENTICED_TO,2962
4902,APPRENTICED_TO,2137
4881,TOOK_OVER_FROM,2070
4062,APPRENTICED_TO,2962
4881,CHILD_OF,2070
2070,SUCCEEDED__BY,4881
2070,HAD_APPRENTICE,7836
2070,PARENT_OF,4881
6604,SEE_ALSO,2070
6604,SEE_ALSO,4902
1852,SUCCEEDED__BY,4035
357,PARENT_OF,1399
357,PARENT_OF,610
610,CHILD_OF,357
610,SIBLING_OF,1399
610,PARTNERSHIP,794
610,PARTNERSHIP,831
610,PARTNERSHIP,356
610,HAD_APPRENTICE,411
610,HAD_APPRENTICE,1291
610,EMPLOYED_BY,411
610,EMPLOYED_BY,430
4035,APPRENTICED_TO,1852
1852,WORKED_FOR,795
1852,APPRENTICED_TO,795
1852,CHILD_OF,1291
1852,PARENT_OF,4035
4035,TOOK_OVER_FROM,1852
4035,SUCCEEDED__BY,6607
4035,EMPLOYED_BY,6416
4035,CHILD_OF,1852
357,ASSOCIATED_WITH,438
795,ASSOCIATED_WITH,2914
1852,NEPHEW_NIECE_OF,795
1399,PARTNERSHIP,831
1399,HAD_APPRENTICE,922
1399,EMPLOYED_BY,922
831,TOOK_OVER_FROM,610
1852,TOOK_OVER_FROM,795
1852,SEE_ALSO,3488
831,SUCCEEDED__BY,794
610,HAD_APPRENTICE,184
1399,CHILD_OF,357
794,TOOK_OVER_FROM,831
794,ASSOCIATED_WITH,4447
795,PARTNERSHIP,794
795,APPRENTICED_TO,622
795,HAD_APPRENTICE,3488
795,HAD_APPRENTICE,5525
795,EMPLOYED_BY,5525
795,SUCCEEDED__BY,1852
1399,SIBLING_OF,610
795,TOOK_OVER_FROM,794
795,SEE_ALSO,1292
6607,SUCCEEDED__BY,6608
6607,TOOK_OVER_FROM,4035
356,TOOK_OVER_FROM,610
356,SUCCEEDED__BY,610
356,ASSOCIATED_WITH,395
10061,SEE_ALSO,10474
10474,TOOK_OVER_FROM,10399
3165,SUCCEEDED__BY,3164
6613,SEE_ALSO,6612
1080,SEE_ALSO,1079
6612,SEE_ALSO,6613
1079,SEE_ALSO,1080
4341,SEE_ALSO,4340
9284,ASSOCIATED_WITH,826
9285,TOOK_OVER_FROM,9284
9285,PARTNERSHIP,9284
9285,ASSOCIATED_WITH,826
8776,ASSOCIATED_WITH,696
8776,ASSOCIATED_WITH,8777
8776,ASSOCIATED_WITH,770
8776,ASSOCIATED_WITH,438
8776,ASSOCIATED_WITH,8778
8776,ASSOCIATED_WITH,551
8776,ASSOCIATED_WITH,674
10488,TOOK_OVER_FROM,4884
2074,SEE_ALSO,2073
2073,SEE_ALSO,4884
4884,SEE_ALSO,2073
2074,SUCCEEDED__BY,4884
1128,ASSOCIATED_WITH,2273
932,TOOK_OVER_FROM,506
4295,APPRENTICED_TO,187
4886,PARENT_OF,9019
4886,APPRENTICED_TO,2256
9018,TOOK_OVER_FROM,4886
9018,CHILD_OF,4886
9018,SIBLING_OF,9019
9018,SIBLING_OF,9020
9019,CHILD_OF,4886
9019,SIBLING_OF,9020
9020,CHILD_OF,4886
9020,SIBLING_OF,9019
4889,SEE_ALSO,2076
2076,APPRENTICED_TO,1446
2076,SEE_ALSO,4889
4889,APPRENTICED_TO,2769
8659,SEE_ALSO,8667
4889,SEE_ALSO,4888
8658,SUCCEEDED__BY,8659
8658,SEE_ALSO,8667
9934,SUCCEEDED__BY,10251
10251,TOOK_OVER_FROM,9934
4890,SEE_ALSO,4837
4890,APPRENTICED_TO,5426
4493,PARENT_OF,4890
4890,CHILD_OF,4493
4890,SEE_ALSO,832
3437,SEE_ALSO,9537
3437,SUCCEEDED__BY,8845
3437,APPRENTICED_TO,3465
9537,SEE_ALSO,3437
9537,SEE_ALSO,8845
8845,SEE_ALSO,9537
8845,TOOK_OVER_FROM,3437
1381,APPRENTICED_TO,30
3438,APPRENTICED_TO,3010
4895,SEE_ALSO,4896
4896,SEE_ALSO,4895
444,TOOK_OVER_FROM,1526
446,TOOK_OVER_FROM,444
446,SEE_ALSO,1046
6622,SUCCEEDED__BY,6620
6622,SEE_ALSO,6619
5606,SUCCEEDED__BY,8372
5606,PARTNERSHIP,8372
6619,SEE_ALSO,6622
9586,SEE_ALSO,8372
6620,TOOK_OVER_FROM,6622
8372,SEE_ALSO,9586
6625,SEE_ALSO,6624
6624,SEE_ALSO,6625
3389,HAD_APPRENTICE,5401
3389,APPRENTICED_TO,3395
6627,SEE_ALSO,4091
10292,TOOK_OVER_FROM,10266
9006,APPRENTICED_TO,4002
6629,SUCCEEDED__BY,9860
3805,SEE_ALSO,3819
4509,APPRENTICED_TO,2394
2885,SIBLING_OF,3643
3643,WORKED_FOR,2885
3643,TOOK_OVER_FROM,2885
2885,SUCCEEDED__BY,3643
2885,EMPLOYED_BY,3643
3643,SIBLING_OF,2885
9082,TOOK_OVER_FROM,6634
8953,WORKED_FOR,749
8953,APPRENTICED_TO,749
4438,SUCCEEDED__BY,3363
611,WORKED_FOR,207
1765,HAD_APPRENTICE,5203
152,ASSOCIATED_WITH,7173
611,APPRENTICED_TO,207
1764,SEE_ALSO,1765
1764,SUCCEEDED__BY,7898
4899,SEE_ALSO,4465
1240,PARENT_OF,4048
9308,TOOK_OVER_FROM,1240
1240,SUCCEEDED__BY,9308
4048,CHILD_OF,1240
4048,APPRENTICED_TO,1240
9308,SEE_ALSO,4048
1240,HAD_APPRENTICE,2796
4048,SEE_ALSO,9308
1240,HAD_APPRENTICE,4048
1240,APPRENTICED_TO,685
1240,HAD_APPRENTICE,4077
9309,SEE_ALSO,4048
9309,SEE_ALSO,9308
9309,SEE_ALSO,1240
4076,SEE_ALSO,1240
5222,SEE_ALSO,6637
6637,SEE_ALSO,5222
6024,SUCCEEDED__BY,9158
6024,TOOK_OVER_FROM,612
947,SEE_ALSO,612
9158,TOOK_OVER_FROM,6024
612,WORKED_FOR,575
612,SEE_ALSO,947
612,SUCCEEDED__BY,6024
612,PARENT_OF,6024
9158,CHILD_OF,6024
6024,CHILD_OF,612
8782,SEE_ALSO,8781
1374,SEE_ALSO,350
1374,APPRENTICED_TO,1375
350,SEE_ALSO,1374
2078,SEE_ALSO,1109
1109,SEE_ALSO,2079
1109,SEE_ALSO,2078
2079,SEE_ALSO,1109
2079,SEE_ALSO,2078
2078,SEE_ALSO,2079
2080,APPRENTICED_TO,1102
2080,WORKED_FOR,451
6638,SUCCEEDED__BY,6639
6639,TOOK_OVER_FROM,6638
615,APPRENTICED_TO,4869
2081,TOOK_OVER_FROM,1988
6640,TOOK_OVER_FROM,4907
2081,SPOUSE_OF,1988
2081,SUCCEEDED__BY,4907
2081,SEE_ALSO,561
2081,SEE_ALSO,6640
3878,SEE_ALSO,6641
6641,SEE_ALSO,3878
6647,SEE_ALSO,9235
5550,SPOUSE_OF,1086
6645,TOOK_OVER_FROM,6643
6645,UNKNOWN_RELATION,4485
9235,PARENT_OF,9235
9235,SEE_ALSO,6647
4021,ASSOCIATED_WITH,4245
4021,WORKED_FOR,3777
4021,PARTNERSHIP,3777
6644,TOOK_OVER_FROM,4485
6643,SUCCEEDED__BY,6642
4909,SEE_ALSO,2082
5493,HAD_APPRENTICE,2582
6642,TOOK_OVER_FROM,6643
4485,SUCCEEDED__BY,6643
1086,SUCCEEDED__BY,5550
617,SUCCEEDED__BY,5493
617,TOOK_OVER_FROM,5493
10375,SUCCEEDED__BY,10376
9310,SUCCEEDED__BY,5493
1191,SEE_ALSO,83
613,SEE_ALSO,1192
1192,SEE_ALSO,613
1192,SUCCEEDED__BY,4689
1378,HAD_APPRENTICE,349
349,HAD_APPRENTICE,3010
349,HAD_APPRENTICE,548
1378,APPRENTICED_TO,1384
6649,SUCCEEDED__BY,6650
7312,CHILD_OF,6649
7312,PARTNERSHIP,6650
6649,PARENT_OF,7312
6650,PARTNERSHIP,7312
6650,TOOK_OVER_FROM,6649
4913,SUCCEEDED__BY,4956
4913,PARENT_OF,10176
10176,CHILD_OF,4913
6652,SEE_ALSO,6624
2887,SEE_ALSO,4916
5492,PARENT_OF,793
5492,PARENT_OF,793
355,PARENT_OF,5492
5492,TOOK_OVER_FROM,793
793,PARTNERSHIP,5489
5492,PARTNERSHIP,878
355,SUCCEEDED__BY,878
793,CHILD_OF,5492
5492,PARTNERSHIP,5489
1078,SEE_ALSO,5489
1078,SEE_ALSO,793
878,TOOK_OVER_FROM,355
860,EMPLOYED_BY,861
2797,HAD_APPRENTICE,2725
9107,ASSOCIATED_WITH,8253
4918,SIBLING_OF,4919
4919,SIBLING_OF,4918
4919,PARTNERSHIP,2088
4919,SUCCEEDED__BY,2088
4920,SEE_ALSO,2083
9107,CHILD_OF,6654
2087,PARENT_OF,6654
2086,TOOK_OVER_FROM,2088
2085,ASSOCIATED_WITH,2914
2085,SEE_ALSO,2797
2085,SEE_ALSO,2086
2085,SUCCEEDED__BY,2088
2085,HAD_APPRENTICE,2111
2085,HAD_APPRENTICE,4918
4918,PARTNERSHIP,2088
2085,HAD_APPRENTICE,4683
2085,APPRENTICED_TO,559
2085,PARENT_OF,2086
2085,PARENT_OF,4918
2084,SEE_ALSO,2086
2083,SEE_ALSO,4920
10011,SPOUSE_OF,4919
6654,PARENT_OF,9107
6654,CHILD_OF,2087
2087,UNKNOWN_RELATION,9107
10011,SEE_ALSO,10000
2797,HAD_APPRENTICE,2688
2797,SEE_ALSO,9107
4259,PARTNERSHIP,10104
4259,CHILD_OF,2085
4259,EMPLOYED_BY,7521
4259,EMPLOYED_BY,10116
4259,TOOK_OVER_FROM,2088
4259,SEE_ALSO,2086
4259,SEE_ALSO,2085
4259,ASSOCIATED_WITH,9378
4259,ASSOCIATED_WITH,7981
4259,OWNED_BY,10104
2088,SEE_ALSO,4919
2088,SEE_ALSO,4918
2088,SEE_ALSO,2086
178,ASSOCIATED_WITH,189
10104,OWNER_OF,10108
9119,SEE_ALSO,7878
9119,SEE_ALSO,8467
9120,SEE_ALSO,6656
9120,SEE_ALSO,4923
9115,SUCCEEDED__BY,4923
4923,TOOK_OVER_FROM,9115
4923,SEE_ALSO,6656
6656,SEE_ALSO,4923
8947,WORKED_FOR,749
8947,WORKED_FOR,728
8578,APPRENTICED_TO,8373
1006,SUCCEEDED__BY,1851
234,APPRENTICED_TO,189
234,HAD_APPRENTICE,855
1490,SEE_ALSO,2484
6659,SUCCEEDED__BY,8262
423,HAD_APPRENTICE,428
1140,SEE_ALSO,4475
1140,SEE_ALSO,423
1140,HAD_APPRENTICE,3223
1140,APPRENTICED_TO,622
6664,SUCCEEDED__BY,6666
9388,TOOK_OVER_FROM,1140
1627,SEE_ALSO,10339
1627,ASSOCIATED_WITH,1613
1857,APPRENTICED_TO,345
423,APPRENTICED_TO,588
423,HAD_APPRENTICE,2104
423,HAD_APPRENTICE,3385
423,SEE_ALSO,1140
6666,TOOK_OVER_FROM,6664
6667,SEE_ALSO,8256
6667,SUCCEEDED__BY,6664
4933,SEE_ALSO,5798
3551,APPRENTICED_TO,622
3439,APPRENTICED_TO,2496
10063,SUCCEEDED__BY,4937
4937,TOOK_OVER_FROM,10063
1957,SUCCEEDED__BY,2888
2888,TOOK_OVER_FROM,1957
176,APPRENTICED_TO,111
1046,SEE_ALSO,444
1442,SEE_ALSO,1046
176,TOOK_OVER_FROM,111
3421,APPRENTICED_TO,3439
4081,SEE_ALSO,6671
4101,SUCCEEDED__BY,4081
4101,SEE_ALSO,6671
622,PARENT_OF,1303
622,SUCCEEDED__BY,1303
622,APPRENTICED_TO,502
622,HAD_APPRENTICE,3526
622,HAD_APPRENTICE,1140
622,HAD_APPRENTICE,1292
1303,TOOK_OVER_FROM,622
622,HAD_APPRENTICE,1303
622,HAD_APPRENTICE,1042
622,ASSOCIATED_WITH,830
622,HAD_APPRENTICE,3551
791,SUCCEEDED__BY,1358
791,APPRENTICED_TO,583
791,HAD_APPRENTICE,5083
9122,SAME_PREMISES_AS,9123
791,HAD_APPRENTICE,5131
4102,CHILD_OF,791
4102,PARTNERSHIP,1358
4102,APPRENTICED_TO,791
9123,SAME_PREMISES_AS,9122
791,ASSOCIATED_WITH,581
1358,TOOK_OVER_FROM,791
6677,SEE_ALSO,4941
6677,SEE_ALSO,9833
9833,SEE_ALSO,6677
1193,SEE_ALSO,824
1193,SEE_ALSO,1340
6678,SEE_ALSO,1193
6679,SUCCEEDED__BY,10088
623,APPRENTICED_TO,419
824,SUCCEEDED__BY,353
623,SIBLING_OF,824
1340,PARENT_OF,419
10088,TOOK_OVER_FROM,6679
824,UNKNOWN_RELATION,353
419,PARENT_OF,824
6684,SUCCEEDED__BY,6685
8495,PARENT_OF,8494
8494,CHILD_OF,8495
8495,SEE_ALSO,9867
1263,ASSOCIATED_WITH,159
825,UNKNOWN_RELATION,826
4945,SEE_ALSO,4948
5214,SUCCEEDED__BY,6688
4597,SEE_ALSO,4948
4946,SEE_ALSO,4948
5214,SEE_ALSO,4948
4947,TOOK_OVER_FROM,4948
4947,SEE_ALSO,4946
4947,SEE_ALSO,4597
4947,SEE_ALSO,4945
4948,SEE_ALSO,4946
4948,SEE_ALSO,4945
4103,SEE_ALSO,6689
6689,SEE_ALSO,4103
6691,SEE_ALSO,6690
3646,TOOK_OVER_FROM,3645
4495,SEE_ALSO,8436
8436,SEE_ALSO,4495
1320,APPRENTICED_TO,1269
789,SEE_ALSO,788
788,SEE_ALSO,789
1354,ASSOCIATED_WITH,830
945,TOOK_OVER_FROM,296
945,ASSOCIATED_WITH,436
945,ASSOCIATED_WITH,1668
945,ASSOCIATED_WITH,296
945,ASSOCIATED_WITH,500
4949,SEE_ALSO,675
945,FRIEND_OF,355
945,ASSOCIATED_WITH,37
10534,CHILD_OF,8332
8332,PARENT_OF,10534
8332,SUCCEEDED__BY,10535
10534,TOOK_OVER_FROM,10535
10535,TOOK_OVER_FROM,8332
10535,SUCCEEDED__BY,10534
952,SEE_ALSO,1459
1459,SEE_ALSO,952
8476,CHILD_OF,8475
3,APPRENTICED_TO,696
3,TOOK_OVER_FROM,4951
2890,SEE_ALSO,4307
418,SUCCEEDED__BY,493
4951,SAME_PREMISES_AS,3
2890,SUCCEEDED__BY,4307
2890,EMPLOYED_BY,6111
6694,SEE_ALSO,4307
6694,SEE_ALSO,2890
4307,SEE_ALSO,6694
493,TOOK_OVER_FROM,418
4307,TOOK_OVER_FROM,2890
8881,SEE_ALSO,8882
8882,FATHER_IN_LAW_OF,3311
8883,EMPLOYED_BY,3311
8883,SUCCEEDED__BY,8881
3647,SEE_ALSO,3163
3163,SEE_ALSO,3647
10042,CHILD_OF,6697
10042,TOOK_OVER_FROM,6697
6697,PARENT_OF,10042
531,SUCCEEDED__BY,530
531,BROTHER_IN_LAW_OF,500
2892,SUCCEEDED__BY,3028
2892,TOOK_OVER_FROM,2891
2544,APPRENTICED_TO,1301
2544,PARENT_OF,2543
2543,APPRENTICED_TO,734
2543,CHILD_OF,2544
2089,TOOK_OVER_FROM,325
626,SEE_ALSO,1582
1581,SEE_ALSO,2745
1581,SEE_ALSO,1582
1581,SEE_ALSO,626
1582,SEE_ALSO,1581
626,SEE_ALSO,1581
4954,SEE_ALSO,6698
6698,SEE_ALSO,4954
9723,TOOK_OVER_FROM,5520
5519,PARENT_OF,5520
9992,CHILD_OF,4956
9992,PARTNERSHIP,4016
5519,SUCCEEDED__BY,5520
5519,ASSOCIATED_WITH,3430
9902,TOOK_OVER_FROM,9723
4956,PARENT_OF,9992
5520,SEE_ALSO,9902
9993,CHILD_OF,4956
9723,SUCCEEDED__BY,9902
5520,TOOK_OVER_FROM,5519
9993,PARTNERSHIP,9682
4956,TOOK_OVER_FROM,5130
9902,SEE_ALSO,5520
9993,PARTNERSHIP,4016
4956,TOOK_OVER_FROM,4913
1902,APPRENTICED_TO,1903
4956,PARENT_OF,9993
9993,SIBLING_OF,9992
4956,SUCCEEDED__BY,4016
5520,CHILD_OF,5519
5520,APPRENTICED_TO,3430
9682,SEE_ALSO,9993
9682,SEE_ALSO,9992
4016,SEE_ALSO,9993
4016,TOOK_OVER_FROM,4956
4016,SEE_ALSO,9992
1082,APPRENTICED_TO,507
125,TOOK_OVER_FROM,119
125,SEE_ALSO,117
1211,PARENT_OF,1307
1211,CHILD_OF,119
1211,SPOUSE_OF,1313
1211,WORKED_FOR,869
1313,SPOUSE_OF,1211
118,SEE_ALSO,117
1211,APPRENTICED_TO,869
1307,CHILD_OF,1211
1313,TOOK_OVER_FROM,1211
117,SEE_ALSO,125
125,SEE_ALSO,205
125,SEE_ALSO,118
119,SEE_ALSO,117
119,SEE_ALSO,118
119,SUCCEEDED__BY,125
118,SEE_ALSO,119
118,SEE_ALSO,125
117,SEE_ALSO,205
117,SEE_ALSO,119
117,SEE_ALSO,118
9189,SEE_ALSO,4960
6704,SEE_ALSO,4960
1830,SEE_ALSO,8369
6706,SEE_ALSO,4318
6705,SEE_ALSO,6706
1853,HAD_APPRENTICE,1927
4318,SAME_PREMISES_AS,1094
4318,SEE_ALSO,6705
4318,APPRENTICED_TO,1094
1829,TOOK_OVER_FROM,1830
5385,WORKED_FOR,831
206,APPRENTICED_TO,135
2893,SEE_ALSO,4963
3882,TOOK_OVER_FROM,3924
3882,HAD_APPRENTICE,2600
6711,SEE_ALSO,6710
6710,SEE_ALSO,6711
6711,SEE_ALSO,10153
354,APPRENTICED_TO,855
354,HAD_APPRENTICE,641
354,CHILD_OF,4015
6712,SEE_ALSO,4133
10480,SEE_ALSO,10400
10400,SEE_ALSO,10360
10480,SEE_ALSO,10360
6714,SEE_ALSO,2613
10360,SAME_PREMISES_AS,10400
1112,SEE_ALSO,6715
6715,SUCCEEDED__BY,6716
6715,SEE_ALSO,4108
6716,TOOK_OVER_FROM,6715
4108,SEE_ALSO,1112
6717,TOOK_OVER_FROM,1112
6717,SUCCEEDED__BY,8244
1301,HAD_APPRENTICE,2544
1301,APPRENTICED_TO,2504
1301,HAD_APPRENTICE,37
1301,HAD_APPRENTICE,3347
4109,SEE_ALSO,6719
1301,HAD_APPRENTICE,2517
1301,HAD_APPRENTICE,2510
6719,SEE_ALSO,4109
6726,PARENT_OF,6723
9266,SEE_ALSO,9271
6726,PARENT_OF,6722
6723,SIBLING_OF,6722
2897,SUCCEEDED__BY,9271
2897,SEE_ALSO,9266
9266,SEE_ALSO,6726
9266,SUCCEEDED__BY,6726
2897,SEE_ALSO,4111
9269,TOOK_OVER_FROM,9267
9267,SEE_ALSO,4110
9267,SEE_ALSO,9271
3494,CHILD_OF,9271
6726,SEE_ALSO,6725
9267,SEE_ALSO,6724
6723,CHILD_OF,6726
6722,SEE_ALSO,6723
6722,TOOK_OVER_FROM,6726
6722,SIBLING_OF,6723
6722,CHILD_OF,6726
6722,PARENT_OF,9271
9269,SEE_ALSO,4110
6721,SEE_ALSO,4111
6720,SEE_ALSO,6724
4112,SEE_ALSO,4110
4110,SIBLING_OF,6726
6720,SEE_ALSO,4111
6720,SEE_ALSO,6722
6720,SEE_ALSO,4110
9269,SEE_ALSO,9271
9269,SEE_ALSO,6724
9271,PARTNERSHIP,9267
9271,SUCCEEDED__BY,4110
6722,NEPHEW_NIECE_OF,6724
6722,NEPHEW_NIECE_OF,4110
4111,SEE_ALSO,4110
4110,SEE_ALSO,4112
4110,SEE_ALSO,6721
4110,PARTNERSHIP,9266
4110,PARTNERSHIP,9269
4110,PARTNERSHIP,9267
4110,SIBLING_OF,6724
3494,SIBLING_OF,4110
3494,PARTNERSHIP,9269
3494,SEE_ALSO,6722
4110,STEPCHILD_OF,9271
6726,PARTNERSHIP,9266
9266,SEE_ALSO,4110
6726,SIBLING_OF,6724
6726,SIBLING_OF,4110
6726,CHILD_OF,9271
3494,SIBLING_OF,6726
6723,TOOK_OVER_FROM,6482
3494,CHILD_OF,6726
1828,SEE_ALSO,2556
339,SEE_ALSO,1489
2614,SEE_ALSO,3546
2615,SEE_ALSO,2614
2615,SEE_ALSO,1489
339,SEE_ALSO,3546
1491,SEE_ALSO,1488
1488,SEE_ALSO,1491
1488,TOOK_OVER_FROM,340
1488,SUCCEEDED__BY,1486
339,PARTNERSHIP,340
339,EMPLOYED_BY,2862
339,SUCCEEDED__BY,340
339,SEE_ALSO,1491
339,UNKNOWN_RELATION,1488
340,SEE_ALSO,1491
340,SEE_ALSO,609
340,SEE_ALSO,1486
340,SUCCEEDED__BY,1488
1489,SEE_ALSO,1491
1489,SEE_ALSO,1488
1489,SEE_ALSO,340
1825,APPRENTICED_TO,1824
1825,HAD_APPRENTICE,1826
1825,HAD_APPRENTICE,3999
1825,HAD_APPRENTICE,2597
1825,SUCCEEDED__BY,1823
1826,SEE_ALSO,2559
1825,TOOK_OVER_FROM,3956
1825,TOOK_OVER_FROM,1824
1826,CHILD_OF,1825
1826,TOOK_OVER_FROM,1823
1826,PARTNERSHIP,1823
1824,PARENT_OF,1825
1824,SUCCEEDED__BY,3956
1825,PARENT_OF,1826
1826,UNKNOWN_RELATION,1824
1825,CHILD_OF,1824
1825,PARTNERSHIP,1823
1827,TOOK_OVER_FROM,1826
1827,SUCCEEDED__BY,2559
1827,SEE_ALSO,1823
1823,SUCCEEDED__BY,1826
1823,SEE_ALSO,2559
8820,SEE_ALSO,1437
8846,SEE_ALSO,8846
8846,TOOK_OVER_FROM,2092
8846,SUCCEEDED__BY,8847
9641,SEE_ALSO,8847
8847,SEE_ALSO,2092
8847,TOOK_OVER_FROM,8846
2092,SUCCEEDED__BY,8846
1822,HAD_APPRENTICE,1736
9776,TOOK_OVER_FROM,8903
1256,ASSOCIATED_WITH,1257
2616,SUCCEEDED__BY,2093
6734,SEE_ALSO,2093
2093,ASSOCIATED_WITH,9659
2093,ASSOCIATED_WITH,6649
2093,SEE_ALSO,6734
1713,SEE_ALSO,2093
9985,SUCCEEDED__BY,10308
786,HAD_APPRENTICE,3328
786,PARENT_OF,9153
786,PARENT_OF,4114
9153,SIBLING_OF,9159
9159,PARTNERSHIP,9154
9153,SUCCEEDED__BY,10334
786,HAD_APPRENTICE,4114
9153,CHILD_OF,786
4969,SEE_ALSO,9156
9153,TOOK_OVER_FROM,9154
10308,CHILD_OF,3328
9154,SUCCEEDED__BY,9153
9155,PARENT_OF,4968
9155,PARENT_OF,786
9155,CHILD_OF,1821
9155,SEE_ALSO,9152
9156,CHILD_OF,786
9156,SIBLING_OF,3328
3328,PARENT_OF,9985
3328,SIBLING_OF,4114
9156,SIBLING_OF,9153
9156,SIBLING_OF,4114
9156,SIBLING_OF,9159
3328,SUCCEEDED__BY,9985
10334,TOOK_OVER_FROM,9153
4114,CHILD_OF,786
4114,SIBLING_OF,3328
4114,SIBLING_OF,9156
4114,SIBLING_OF,9159
4114,APPRENTICED_TO,786
9156,APPRENTICED_TO,786
4114,SIBLING_OF,9153
1821,PARENT_OF,9155
1821,SUCCEEDED__BY,4968
1821,SEE_ALSO,9152
9159,CHILD_OF,786
9159,SIBLING_OF,3328
9159,SIBLING_OF,9153
9159,SIBLING_OF,4114
9159,SIBLING_OF,9156
9159,APPRENTICED_TO,786
3328,NEPHEW_NIECE_OF,4968
4969,SEE_ALSO,4968
4968,TOOK_OVER_FROM,1821
4968,SUCCEEDED__BY,8744
4968,HAD_APPRENTICE,4969
786,GRANDCHILD_OF,1821
4968,SIBLING_OF,786
786,HAD_APPRENTICE,9156
9985,TOOK_OVER_FROM,3328
4968,CHILD_OF,9155
4968,PARENT_OF,9951
786,HAD_APPRENTICE,570
9985,CHILD_OF,3328
10334,CHILD_OF,9153
4114,NEPHEW_NIECE_OF,4968
4968,GRANDCHILD_OF,1821
786,SUCCEEDED__BY,9154
9153,SIBLING_OF,9156
9153,SIBLING_OF,4114
9153,SIBLING_OF,3328
9153,PARENT_OF,10334
786,PARENT_OF,9156
786,PARENT_OF,9159
3328,TOOK_OVER_FROM,557
3328,APPRENTICED_TO,786
9985,APPRENTICED_TO,3328
3328,SIBLING_OF,9153
3328,SIBLING_OF,9159
3328,SIBLING_OF,9156
3328,CHILD_OF,786
786,CHILD_OF,1821
9497,SUCCEEDED__BY,9951
9497,SEE_ALSO,8744
8709,SEE_ALSO,4184
8709,TOOK_OVER_FROM,4114
9161,PARTNERSHIP,9155
9161,SUCCEEDED__BY,1821
8744,TOOK_OVER_FROM,4968
9161,TOOK_OVER_FROM,1821
9483,TOOK_OVER_FROM,8744
2094,SEE_ALSO,4970
2898,SEE_ALSO,3052
2898,SUCCEEDED__BY,9849
2898,CHILD_OF,9845
2898,PARENT_OF,9846
9845,PARENT_OF,2898
9848,CHILD_OF,9846
9846,CHILD_OF,2898
9846,PARENT_OF,9848
4115,SEE_ALSO,4971
2094,SEE_ALSO,4115
2094,TOOK_OVER_FROM,9845
2094,SUCCEEDED__BY,2898
2094,SIBLING_OF,2898
2094,CHILD_OF,9845
4971,SEE_ALSO,4970
4970,SEE_ALSO,4971
9849,TOOK_OVER_FROM,9846
9849,SUCCEEDED__BY,9848
628,SEE_ALSO,78
2617,SEE_ALSO,1607
1607,SEE_ALSO,2617
3957,APPRENTICED_TO,2928
6026,SEE_ALSO,3824
6026,SEE_ALSO,3823
3824,SEE_ALSO,3823
3824,PARTNERSHIP,6026
3823,PARTNERSHIP,6026
313,SIBLING_OF,3823
3823,SIBLING_OF,313
3823,PARTNERSHIP,5765
5765,PARTNERSHIP,3823
790,SEE_ALSO,629
629,SEE_ALSO,790
4973,APPRENTICED_TO,430
1856,SUCCEEDED__BY,1855
8565,APPRENTICED_TO,1971
1856,SEE_ALSO,1971
8565,CHILD_OF,1856
1855,TOOK_OVER_FROM,1856
4116,TOOK_OVER_FROM,2899
1535,SEE_ALSO,3661
3651,SEE_ALSO,3658
1535,SUCCEEDED__BY,3651
1535,SEE_ALSO,3660
3651,TOOK_OVER_FROM,1535
3651,SEE_ALSO,3660
9328,SEE_ALSO,3828
4339,SAME_PREMISES_AS,1534
1534,SAME_PREMISES_AS,4339
3828,SAME_PREMISES_AS,4339
3828,SAME_PREMISES_AS,1534
3828,SEE_ALSO,9328
6742,SEE_ALSO,6743
4117,SEE_ALSO,2095
6742,SAME_PREMISES_AS,2096
2095,SEE_ALSO,4117
470,SEE_ALSO,2096
2095,SUCCEEDED__BY,2096
2095,SEE_ALSO,3827
4117,SEE_ALSO,3827
2096,SUCCEEDED__BY,6742
2096,SAME_PREMISES_AS,4117
2096,SEE_ALSO,470
6743,TOOK_OVER_FROM,6742
2096,TOOK_OVER_FROM,2095
10045,SIBLING_OF,10044
10044,SIBLING_OF,10045
10043,SEE_ALSO,10045
10043,SEE_ALSO,10044
1205,TOOK_OVER_FROM,1204
1205,TOOK_OVER_FROM,1204
4975,SUCCEEDED__BY,5121
3653,PARENT_OF,3654
494,ASSOCIATED_WITH,442
