source,relationship,target
4639,SAME_PREMISES_AS,4638
1753,TOOK_OVER_FROM,1752
3562,CHILD_OF,3562
3562,WORKED_FOR,421
3562,APPRENTICED_TO,421
6069,WORKED_FOR,430
4628,SAME_PREMISES_AS,9132
9492,TOOK_OVER_FROM,4628
2716,SUCCEEDED__BY,555
6072,TOOK_OVER_FROM,6077
6077,SUCCEEDED__BY,6072
6077,TOOK_OVER_FROM,555
6072,PARTNERSHIP,6077
555,SUCCEEDED__BY,6077
555,TOOK_OVER_FROM,2716
1797,SEE_ALSO,1796
1796,SEE_ALSO,1797
1309,HAD_APPRENTICE,5366
9044,TOOK_OVER_FROM,3757
9044,SPOUSE_OF,3757
2530,APPRENTICED_TO,2525
9044,SUCCEEDED__BY,8061
2530,HAD_APPRENTICE,1613
1309,APPRENTICED_TO,5363
6073,SUCCEEDED__BY,6074
6074,TOOK_OVER_FROM,6073
1125,APPRENTICED_TO,727
6078,EMPLOYED_BY,6076
6078,SEE_ALSO,9824
6078,SIBLING_OF,6076
6079,SEE_ALSO,6076
557,CHILD_OF,556
1981,SUCCEEDED__BY,1982
1981,SEE_ALSO,2645
1981,PARTNERSHIP,1982
556,SUCCEEDED__BY,558
556,PARENT_OF,557
556,PARTNERSHIP,558
556,HAD_APPRENTICE,557
556,HAD_APPRENTICE,5714
557,EMPLOYED_BY,5714
557,TOOK_OVER_FROM,558
10333,SAME_PREMISES_AS,3328
1982,SUCCEEDED__BY,2645
8385,CHILD_OF,557
9998,AGENT_TO,9999
10333,ASSOCIATED_WITH,3328
2981,TOOK_OVER_FROM,557
2981,SEE_ALSO,935
5055,TOOK_OVER_FROM,557
5055,SUCCEEDED__BY,3328
6082,TOOK_OVER_FROM,7849
558,SUCCEEDED__BY,557
558,TOOK_OVER_FROM,556
8335,SIBLING_OF,6083
8336,NEPHEW_NIECE_OF,8335
8334,NEPHEW_NIECE_OF,8335
8334,SIBLING_OF,8336
8336,SIBLING_OF,8334
6083,SIBLING_OF,8335
1691,SUCCEEDED__BY,3850
3851,CHILD_OF,1691
3850,SUCCEEDED__BY,3851
3850,SIBLING_OF,3851
3850,CHILD_OF,1691
3851,SUCCEEDED__BY,4631
4631,SUCCEEDED__BY,7941
3850,TOOK_OVER_FROM,1691
1691,WORKED_FOR,432
4631,NEPHEW_NIECE_OF,1691
4631,COUSIN_OF,3851
3851,TOOK_OVER_FROM,3850
3851,SIBLING_OF,3850
4631,APPRENTICED_TO,1691
4631,TOOK_OVER_FROM,3851
1691,UNCLE_AUNT_OF,4631
10321,PARTNERSHIP,10325
10321,APPRENTICED_TO,3477
5355,HAD_APPRENTICE,979
5482,HAD_APPRENTICE,873
501,SEE_ALSO,1970
2648,PARTNERSHIP,2647
2648,SUPPLIED_TO,4600
2648,PARTNERSHIP,5640
6087,SEE_ALSO,6086
6089,TOOK_OVER_FROM,7474
1751,SPOUSE_OF,1749
1751,HAD_APPRENTICE,3423
1751,HAD_APPRENTICE,3008
1749,SPOUSE_OF,1751
1751,APPRENTICED_TO,2394
1751,HAD_APPRENTICE,2359
1748,SEE_ALSO,1751
1748,TOOK_OVER_FROM,1749
1750,TOOK_OVER_FROM,1751
1750,SUCCEEDED__BY,1749
1747,ASSOCIATED_WITH,1751
1747,ASSOCIATED_WITH,1749
1165,SEE_ALSO,2650
1985,SUCCEEDED__BY,4098
5064,SEE_ALSO,1985
5064,SEE_ALSO,4098
5064,SAME_PREMISES_AS,3058
2650,SUCCEEDED__BY,2651
2650,SEE_ALSO,6091
2650,SEE_ALSO,3513
2650,SEE_ALSO,1047
2650,SEE_ALSO,1165
2651,TOOK_OVER_FROM,2650
2651,SEE_ALSO,6091
3513,SEE_ALSO,6092
3513,SEE_ALSO,1047
3513,SEE_ALSO,2650
8413,PARENT_OF,8414
8413,SEE_ALSO,4632
2651,SEE_ALSO,3513
2651,SEE_ALSO,1047
2651,SEE_ALSO,6092
2651,SEE_ALSO,4632
4632,SEE_ALSO,2651
3513,SEE_ALSO,6091
3513,SEE_ALSO,6094
4632,SEE_ALSO,6092
4632,SEE_ALSO,3513
4632,SEE_ALSO,2650
4632,SUCCEEDED__BY,6097
1047,SEE_ALSO,6091
1047,SEE_ALSO,2650
1047,SEE_ALSO,3513
1047,SEE_ALSO,2651
1047,SEE_ALSO,1165
1165,SEE_ALSO,1047
1165,SEE_ALSO,2651
6091,SEE_ALSO,2650
6092,SEE_ALSO,2651
6092,SEE_ALSO,4632
6092,SEE_ALSO,1047
6092,SEE_ALSO,3513
6092,SEE_ALSO,2650
6092,SEE_ALSO,6091
6091,SEE_ALSO,6092
6091,SEE_ALSO,1047
6091,SEE_ALSO,3513
4098,SEE_ALSO,5064
4098,TOOK_OVER_FROM,1985
6094,SEE_ALSO,2650
6094,SEE_ALSO,6092
6094,SEE_ALSO,1047
6094,SEE_ALSO,3513
6094,SEE_ALSO,6091
6095,SUCCEEDED__BY,6096
6095,TOOK_OVER_FROM,5064
6097,SEE_ALSO,3513
6097,SEE_ALSO,6091
6097,SEE_ALSO,1047
6097,TOOK_OVER_FROM,6092
6097,SEE_ALSO,2650
309,SEE_ALSO,2652
309,TOOK_OVER_FROM,1121
1121,SEE_ALSO,2652
1121,SUCCEEDED__BY,309
2652,SEE_ALSO,1121
2652,TOOK_OVER_FROM,309
20,HAD_APPRENTICE,1282
20,TOOK_OVER_FROM,103
20,SUCCEEDED__BY,19
600,HAD_APPRENTICE,1293
600,SAME_PREMISES_AS,4504
20,PARENT_OF,19
19,CHILD_OF,20
407,APPRENTICED_TO,540
6101,TOOK_OVER_FROM,407
10478,ASSOCIATED_WITH,10481
1539,SEE_ALSO,484
137,SEE_ALSO,484
1539,SEE_ALSO,79
79,SEE_ALSO,1539
484,SEE_ALSO,137
137,SEE_ALSO,1539
484,SEE_ALSO,1539
79,SEE_ALSO,484
79,SEE_ALSO,137
137,SEE_ALSO,79
1539,SEE_ALSO,137
484,SEE_ALSO,79
8487,SEE_ALSO,4636
4636,SEE_ALSO,8487
2509,SUCCEEDED__BY,749
8951,WORKED_FOR,749
2509,HAD_APPRENTICE,749
1745,SUCCEEDED__BY,1746
5728,SEE_ALSO,1744
105,SEE_ALSO,103
4637,APPRENTICED_TO,312
21,PARTNERSHIP,273
3854,TOOK_OVER_FROM,21
3854,SUCCEEDED__BY,541
21,SAME_PREMISES_AS,541
21,ASSOCIATED_WITH,845
21,APPRENTICED_TO,273
21,SPOUSE_OF,3854
3854,SPOUSE_OF,21
1679,APPRENTICED_TO,325
1679,CHILD_OF,559
6105,SEE_ALSO,6104
559,HAD_APPRENTICE,2085
559,PARENT_OF,1679
1052,APPRENTICED_TO,24
9323,TOOK_OVER_FROM,9278
1740,HAD_APPRENTICE,3274
