id,other_trades,other_trades_parenth,role_primary,relation_to,guild_memberships,seller_descriptions,maker_descriptions,material,qualifier_im,seller_trades,seller_trades_parenth,maker_trades,maker_trade_parentheses_1,maker_qualifier
90,,,,,,,,,,,,Compass,,
91,,,,,,,Mathematical,(in wood),,,,,,
91,,,,,Stationers,,,,,,,,,
92,,,,,,,,,,,,Clock,,
92,,,,,,,,,,,,Clock,,
92,,,,,,,,,,,,Clock,,
92,,,,,,,,,,,,Engine,,
92,,,,,,,,,,,,Engine,,
92,,,,,,,,,,,,Engine,,
92,,,,,,,Mathematical,,,,,,,
92,,,,,,,Philosophical,,,,,,,
92,,,,,,,Optical,,,,,,,
93,,,,,,,,,,,,Globe,,
94,,,,,,,Mathematical,(in wood),,,,,,
94,,,,,Stationers,,,,,,,,,
96,,,,,,,Mathematical,,,,,,,
97,,,,,,,Mathematical,,,,,,,
97,,,,,Joiners,,,,,,,,,
99,,,,,,,Mathematical,(in silver or brass),,,,,,
99,,,,,Grocers,,,,,,,,,
101,,,,,,,,,,,,Rule,,
102,,,,,,,,,,,,Compass,,
103,,,,,,,Mathematical,,,,,,,
104,,,,,,,,,,,,Compass,drawing ?,
106,,,,,,,Mathematical,(in brass),,,,,,
106,,,,,Clockmakers,,,,,,,,,
106,,,,,Grocers,,,,,,,,,
108,,,,,,,,,,,,Dial,,
108,,,,,Clockmakers,,,,,,,,,
109,,,,,,,,,,,,Sundial,,
110,,,,,,,Mathematical,(in brass and wood),,,,,,
110,,,,,Joiners,,,,,,,,,
111,,,,,,,Mathematical,(in both brass and wood),,,,,,
111,,,,,Stationers,,,,,,,,,
112,,,,,,,,,,,,Dial,,
112,,,,,,,,,,,,Compass,,
112,,,Surveyor,,,,,,,,,,,
113,,,,,,,,,,,,Compass,,
115,,,,,,,Mathematical,,,,,,,
115,,,,,Clockmakers,,,,,,,,,
115,,,,,Joiners,,,,,,,,,
116,,,,,,,Mathematical,,,,,,,
116,,,,,Clockmakers,,,,,,,,,
116,,,Surveyor,,,,,,,,,,,
122,,,,,,,,,,Book,,,,
122,,,,,,,Mathematical,"silver, brass, ivory, wood",,,,,,
122,,,,,Clockmakers,,,,,,,,,
122,,,,,Grocers,,,,,,,,,
124,,,,,Joiners,,,,,,,,,
126,,,,,Grocers,,,,,,,,,
127,,,,,,,,,,Globe,,,,
127,,,,,,Mathematical,,,,,,,,
127,,,,,Stationers,,,,,,,,,
127,,,,,Weavers,,,,,,,,,
128,,,,,,,,,,,,Globe,,
128,,,,,,,,,,Map,,,,
129,,,,,,,,,,Globe,,,,
129,,,,,,,,,,Map,,,,
129,,,,,,,,,,Instrument,,,,
129,,,,,Weavers,,,,,,,,,
130,,,Engraver,map,,,,,,,,,,
132,,,,,,,,,,,,Compass,,
134,,,,,,,Mathematical,,,,,,,
135,,,,,,,,,,Book,,,,
135,,,,,,,Mathematical,,,,,,,
135,,,,,Clockmakers,,,,,,,,,
137,,,,,,,,,,,,Compass,drawing ?,
139,,,,,,,,,,,,Rule,,
139,,,,,,,Gauging,,,,,,,
140,,,,,,,,,,,,Map,,
140,,,,,,,,,,,,Map,,
140,,,,,,,,,,,,Map,,
140,,,,,,,,,,,,Map,,
140,,,,,,,,,,,,Map,,
140,,,,,,,,,,,,Map,,
140,,,,,,,,,,Book,,,,
140,,,,,,,,,,Instrument,,,,
140,,,,,,,,,,Globe,,,,
140,,,,,Clockmakers,,,,,,,,,
140,,,,,Merchant Taylors,,,,,,,,,
141,,,,,,,Mathematical,,,,,,,
141,,,Surveyor,,,,,,,,,,,
141,,,Operator ,the royal society,,,,,,,,,,
142,,,,,,,,,,,,Spectacle,,
142,,,,,Spectaclemakers,,,,,,,,,
144,,,,,,,,,,,,Clock,,
144,,,,,Clockmakers,,,,,,,,,
145,,,,,Clockmakers,,,,,,,,,
146,,,,,,,Mathematical,,,,,,,
146,,,,,Clockmakers,,,,,,,,,
146,,,,,Stationers,,,,,,,,,
146,,,Engraver,,,,,,,,,,,
147,,,,,,,,,,,,Prospective Glass,,
147,,,,,,,,,,,,Prospective Glass,,
147,,,,,Spectaclemakers,,,,,,,,,
147,,,,,Turners,,,,,,,,,
148,,,,,,,,,,Music,,,,
148,,,,,,,,,,Print,,,,
148,,,,,,,,,,Book,,,,
148,,,,,,,Optical,,,,,,,
148,,,,,,,Mathematical,,,,,,,
148,,,Stationer ,,,,,,,,,,,
149,,,,,,,Mathematical,,,,,,,
149,,,,,,,,,,,,,,
151,,,,,,,,,,,,Spectacle,,
151,,,,,Spectaclemakers,,,,,,,,,
152,,,,,,,,,,Book,,,,
152,,,,,,,Mathematical,,,,,,,
154,,,,,,,Mathematical,,,,,,,
155,,,,,,,Mathematical,,,,,,,
155,,,,,Pewterers,,,,,,,,,
155,,,Engraver,,,,,,,,,,,
156,,,,,,,Mathematical,,,,,,,
156,,,,,Clockmakers,,,,,,,,,
157,,,,,Clockmakers,,,,,,,,,
158,,,,,,,Mathematical,,,,,,,
158,,,,,Clockmakers,,,,,,,,,
159,,,,,,,Mathematical,,,,,,,
159,,,,,Clockmakers,,,,,,,,,
159,,,,,Grocers,,,,,,,,,
160,,,,,,,,,,,,Globe,,
160,,,,,,,,,,,,Globe,,
160,,,,,,,,,,Book,,,,
160,,,,,,,,,,Map,,,,
160,,,,,,,Mathematical,,,,,,,
