id,street,lat,lon
166,"The Orrery, next the Globe Tavern, 136 Fleet St,",51.5139362040847,-0.110281705856323
166,"136 Fleet St,",51.5139362040847,-0.110281705856323
167,"3 Barbican,",51.5202264422828,-0.0967848300933838
167,"5 Barbican, Aldersgate St,",51.5201329796855,-0.0975573062896728
169,"Leather Lane,",51.5207627358765,-0.10985255241394
172,"Threadneedle St, Behind the Royal Exchange,",51.5137370120361,-0.0878691673278809
173,"Tower Hill,",51.5092165642489,-0.078202486038208
174,"Globe & Sun, between St.Dunstan's Church & Chancery Lane,",51.5167281400212,-0.112695693969727
175,"The Globe, East Smithfield, near the Hermitage, Wapping,",51.5084686773553,-0.0725376605987549
175,"Wapping,",51.5036805748567,-0.0621521472930908
180,"Golden Sphere in Three Crane Court, Fleet St,",51.5139362040847,-0.110281705856323
180,"in Crane Court, Fleet St,",51.5139362040847,-0.110281705856323
182,"Postern Row, Tower Hill,",51.5092165642489,-0.078202486038208
182,"The Mariner, Postern Row, 7 Tower Hill,",51.5092165642489,-0.078202486038208
182,"12 Tower Hill,",51.5092165642489,-0.078202486038208
182,"8 Postern Row, Tower Hill,",51.5092165642489,-0.078202486038208
184,"8 Postern Row, Tower Hill,",51.5092165642489,-0.078202486038208
184,"148 Leadenhall St,",51.5134165223878,-0.0826013088226318
184,"Stepney Green, (residence ?)",51.5198726185816,-0.0486123561859131
185,"Navigation Warehouse, 148 Leadenhall St,",51.5134165223878,-0.0826013088226318
185,"148 Leadenhall St,",51.5134165223878,-0.0826013088226318
188,"182 near Norfolk St, Strand,",51.5123048064446,-0.1151043176651
188,"181 Strand,",51.5101847924382,-0.115699768066406
188,"272 Strand,",51.5101847924382,-0.115699768066406
188,"182 Strand,",51.5101847924382,-0.115699768066406
188,"181 Strand,",51.5101847924382,-0.115699768066406
188,"277 Strand,",51.5101847924382,-0.115699768066406
189,"Fleet St,",51.5139362040847,-0.110281705856323
189,"The Crown, over against Durham Yard in the Strand,",51.5101847924382,-0.115699768066406
189,"The Globe in Fleet St,",51.5139362040847,-0.110281705856323
192,"Atlas & Hercules in Cheapside,",51.5143167810001,-0.0955349206924438
192,"Atlas & Hercules, opposite Salisbury Court, Fleet St,",51.5139362040847,-0.110281705856323
192,"Parish of St.Brides, Fleet St,",51.5139362040847,-0.110281705856323
193,the Globe in Craggs Court between Charing Cross and,51.5074503294806,-0.128606557846069
197,"Near the Golden Tun, East Smithfield,",51.5084686773553,-0.0725376605987549
200,"Ye Archimedes & Spectacles in St.Paul's Church Yard,",51.5133430765259,-0.0998318195343018
200,"St Paul's Church Yard,",51.5133430765259,-0.0998318195343018
200,"Archimedes & Three pair of Golden Spectacles in Ludgate St,",51.5140241154312,-0.103211402893066
200,"Archimedes & Three Golden Prospects, St. Paul's Church Yard,",51.5133430765259,-0.0998318195343018
200,"Archimedes in Ludgate St, first Spectacle Shop in Ludgate,",51.5140241154312,-0.103211402893066
202,"Near Wapping Old Stairs,",51.5036805748567,-0.0621521472930908
207,"Dial & Crown, Fleet St,",51.5139362040847,-0.110281705856323
207,"Dial & Three Crowns, Water Lane, Fleet St,",51.5139362040847,-0.110281705856323
207,"Dial & One Crown, Fleet St,",51.5139362040847,-0.110281705856323
216,"Long Acre,",51.5124149777041,-0.125656127929688
218,"Mariner & Globe, Strand,",51.5101847924382,-0.115699768066406
218,"Hermitage Stairs, Wapping,",51.5036805748567,-0.0621521472930908
223,"The Star, next the Mercer's Chapel in Cheapside,",51.5143167810001,-0.0955349206924438
232,"Archimedes and Golden Spectacles in Ludgate St,",51.5140241154312,-0.103211402893066
232,"Ludgate St,",51.5140241154312,-0.103211402893066
