source,target,relationship
3160,2982,ASSOCIATED_WITH
949,5342,SEE_ALSO
4424,431,WORKED_FOR
4424,554,CHILD_OF
4424,430,WORKED_FOR
431,2585,EMPLOYED_BY
431,430,TOOK_OVER_FROM
431,4424,EMPLOYED_BY
431,411,SEE_ALSO
554,4424,PARENT_OF
554,841,TOOK_OVER_FROM
554,1094,SEE_ALSO
430,608,HAD_APPRENTICE
430,716,EMPLOYED_BY
430,188,EMPLOYED_BY
430,410,EMPLOYED_BY
430,390,APPRENTICED_TO
430,442,HAD_APPRENTICE
430,2236,HAD_APPRENTICE
430,4300,ASSOCIATED_WITH
430,551,WORKED_FOR
430,2167,EMPLOYED_BY
430,610,WORKED_FOR
430,741,WORKED_FOR
430,431,EMPLOYED_BY
430,9226,EMPLOYED_BY
430,748,EMPLOYED_BY
430,4566,EMPLOYED_BY
430,5353,EMPLOYED_BY
430,9225,EMPLOYED_BY
841,554,SUCCEEDED__BY
1453,3760,SUCCEEDED__BY
3760,1453,TOOK_OVER_FROM
1094,4318,SAME_PREMISES_AS
1094,2077,HAD_APPRENTICE
1094,2782,HAD_APPRENTICE
1094,2547,HAD_APPRENTICE
1094,294,HAD_APPRENTICE
1094,2253,HAD_APPRENTICE
1094,24,APPRENTICED_TO
1094,2781,HAD_APPRENTICE
1094,2137,HAD_APPRENTICE
1094,2312,HAD_APPRENTICE
1094,1819,SUCCEEDED__BY
1094,768,HAD_APPRENTICE
2641,4618,SEE_ALSO
4618,2641,SEE_ALSO
9944,8363,SEE_ALSO
17,116,HAD_APPRENTICE
17,87,TOOK_OVER_FROM
17,111,ASSOCIATED_WITH
116,126,ASSOCIATED_WITH
116,17,TOOK_OVER_FROM
116,135,HAD_APPRENTICE
87,71,APPRENTICED_TO
4619,4282,ASSOCIATED_WITH
4282,4619,ASSOCIATED_WITH
1077,4042,APPRENTICED_TO
4042,2170,CHILD_OF
4042,5268,PARTNERSHIP
4042,9168,PARENT_OF
2796,1240,APPRENTICED_TO
1240,4048,HAD_APPRENTICE
1240,9308,SUCCEEDED__BY
1240,2796,HAD_APPRENTICE
1240,685,APPRENTICED_TO
1240,4077,HAD_APPRENTICE
1294,6048,SUCCEEDED__BY
4620,7758,ASSOCIATED_WITH
4620,7757,ASSOCIATED_WITH
7758,7757,SEE_ALSO
7757,7758,SEE_ALSO
111,176,HAD_APPRENTICE
111,198,ASSOCIATED_WITH
111,17,ASSOCIATED_WITH
111,91,APPRENTICED_TO
4621,4620,SUCCEEDED__BY
6052,6051,SEE_ALSO
6052,6053,SEE_ALSO
6051,6053,SEE_ALSO
6053,6052,SEE_ALSO
6053,6051,SEE_ALSO
1755,5505,HAD_APPRENTICE
1755,5497,SEE_ALSO
1755,5498,SEE_ALSO
5505,704,APPRENTICED_TO
5497,1755,APPRENTICED_TO
5537,172,APPRENTICED_TO
172,253,SUCCEEDED__BY
172,2625,HAD_APPRENTICE
172,1379,UNKNOWN_RELATION
172,1377,UNKNOWN_RELATION
172,173,SEE_ALSO
5535,1232,HAD_APPRENTICE
1232,5535,APPRENTICED_TO
3395,5399,PARENT_OF
3395,5398,SIBLING_OF
5399,3395,CHILD_OF
5398,3395,APPRENTICED_TO
4622,4423,SAME_PREMISES_AS
4423,1980,SEE_ALSO
4423,1979,SAME_PREMISES_AS
4423,4622,SEE_ALSO
1979,2181,ASSOCIATED_WITH
1979,1980,PARENT_OF
2181,7255,SEE_ALSO
2181,4623,ASSOCIATED_WITH
6057,1979,SAME_PREMISES_AS
6057,1980,SEE_ALSO
1980,1979,CHILD_OF
4623,1979,SAME_PREMISES_AS
2986,850,HAD_APPRENTICE
850,2986,APPRENTICED_TO
6061,6060,SEE_ALSO
6061,6059,SEE_ALSO
6060,6061,SEE_ALSO
3426,3447,APPRENTICED_TO
3426,3274,APPRENTICED_TO
3426,8655,HAD_APPRENTICE
3426,7046,HAD_APPRENTICE
3447,1000,APPRENTICED_TO
3447,3305,PARENT_OF
3447,3226,HAD_APPRENTICE
3447,3453,HAD_APPRENTICE
3447,3426,HAD_APPRENTICE
6059,6061,SEE_ALSO
2529,325,APPRENTICED_TO
2529,4124,HAD_APPRENTICE
325,2608,SEE_ALSO
325,485,ASSOCIATED_WITH
325,1679,HAD_APPRENTICE
325,734,TOOK_OVER_FROM
325,2529,HAD_APPRENTICE
325,2118,HAD_APPRENTICE
325,2324,HAD_APPRENTICE
325,2322,SEE_ALSO
3274,3453,HAD_APPRENTICE
3274,3426,HAD_APPRENTICE
